,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact
264,almacafe,Colombia,,3-37-1606,bachué,3-37,racafe & cia s.c.a,,la plata,,226,70 kg,2016,"January 21st, 2016",,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,83.92,0.0,1,3.0,,5,"January 20th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
265,cqi taiwan icp cqi台灣合作夥伴,Taiwan,very famous intl.名門義理國際股份有限公司,,very famous intl.名門義理國際股份有限公司,none,宸嶧國際,,台灣,YANG TENG KO楊登嵙,1,2 kg,2014,"November 7th, 2015",,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,83.92,0.0,0,0.0,Blue-Green,0,"November 6th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
266,federacion nacional de cafeteros,Colombia,,,,03-01-5274,federacion nacional de cafeteros,,huila,,275,2 kg,2015,"August 18th, 2015",,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,83.92,0.0,0,0.0,,0,"August 17th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
267,federacion nacional de cafeteros,Colombia,,,,01-1969,federacion nacional de cafeteros,,huila,,275,2 kg,2014,"March 12th, 2015",,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,83.92,0.0,1,0.0,None,1,"March 11th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
268,racafe & cia s.c.a,Colombia,,,,3-37-0985,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,2014,"December 12th, 2014",Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,83.92,0.0,0,0.0,Green,1,"December 12th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
269,cqi taiwan icp cqi台灣合作夥伴,Taiwan,神谷山莊園,,神谷山莊園,Taiwan台灣,宸嶧國際,950公尺,台中和平區,張瑞宏,10,60 kg,2014,"November 23rd, 2014",Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,83.92,0.06,0,0.0,Green,0,"November 23rd, 2015",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
270,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-0635,ecom cca sa,1550,santander,,250,70 kg,2014,"January 17th, 2014",Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,83.92,0.12,0,0.0,Green,3,"January 17th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
271,oscar ortega carballo,Mexico,finca cuetzalingo,,xicotepec de juarez,1207088353,agro xicotepec 2000,900,xicotepec de juarez,OSCAR ORTEGA CARBALLO,48,1 kg,2012,"July 3rd, 2012",Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,83.92,0.12,10,0.0,Blue-Green,32,"July 3rd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
272,alfredo bojalil,Mexico,finca sant rosa,,agroindustrias unidas de mexico,2222,ecomtrading,1500,la concordia,ARTURO LIEVANO MORENO,250,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,83.92,0.11,0,0.0,,2,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
273,organizaciones de productores de cafe colimense,Mexico,comunidad la yerbabuena,,cafetaleros de la yerbabuena spr de rl,2671,organizaciones de productores de cafe colimense sa de cv,1400,la yerbabuena,coop,20,1 kg,2012,"April 2nd, 2012",Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,83.92,0.0,0,0.0,Green,2,"April 2nd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
274,carcafe ltda ci,Colombia,,3-59-2888,cartago,3-59-2888,carcafe ltda,2527,nariño,Jose Albeiro gomez,275,70 kg,2017,"June 30th, 2017",Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,83.83,0.0,1,0.0,Green,6,"June 30th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
275,racafe & cia s.c.a,Colombia,,3-37-2112,bachue,3-37-2112,racafe & cia s.c.a,,huila,La Plata,275,70 kg,2016,"March 14th, 2017",Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,83.83,0.0,1,2.0,Green,0,"March 14th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
276,"ceca, s.a.",Costa Rica,gamboa,8039,beneficio montañas del diamante,5-025-0249,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,275,69 kg,2015,"June 6th, 2016",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,83.83,0.0,0,0.0,Blue-Green,0,"June 6th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9
277,juan luis alvarado romero,Guatemala,finca medina,11/11711/60,beneficio siembras vision (154),11/11711/60,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,100,69 kg,2016,"May 23rd, 2016",Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,83.83,0.11,0,7.0,Green,6,"May 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
278,cqi taiwan icp cqi台灣合作夥伴,Taiwan,優遊吧斯股份有限公司yuyupas international corp.,1,none,None,宸嶧國際,1200,台灣,鄭虞坪,167,30 kg,2016,"February 23rd, 2016",,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,83.83,0.0,0,0.0,,0,"February 22nd, 2017",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
279,ipanema coffees,Brazil,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agrícola SA,320,2 kg,2015/2016,"October 8th, 2015",Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,83.83,0.0,0,0.0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
280,"lin, che-hao krude 林哲豪",Taiwan,鄉舍咖啡 hometown coffee,,鄉舍咖啡 hometown coffee,Taiwan,taiwan coffee laboratory,480-570m,"dongshan dist., tainan city 臺南市東山區",ZENG JIAN NAN 曾建男,8,18 kg,2014,"April 30th, 2015",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,83.83,0.0,0,0.0,Green,1,"April 29th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
281,yasmin cofffee plantation plc,Ethiopia,,,,2014/2015,yasmin coffee plantation plc,1650-1703,oromia,Sumeya Yasin,320,60 kg,2014,"March 31st, 2015",,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,83.83,0.12,0,0.0,Green,4,"March 30th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd
282,ipanema coffees,Brazil,rio verde,,ipanema coffees,002/1660/0066,ipanema coffees,1200,south of minas,Ipanema Agrícola SA,300,2 kg,2014/2015,"October 16th, 2014",Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,83.83,0.0,0,0.0,Green,1,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
283,eric thormaehlen,Costa Rica,various,,coricafe sa,5-0048-0145,coricafe s.a.,1200-1400,central valley,VARIOS,250,1 kg,2013,"June 9th, 2014",Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,83.83,0.1,0,0.0,Green,3,"June 9th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9
284,juan luis alvarado romero,Guatemala,el papaturro,,beneficio ixchel,11/23/0436,"unex guatemala, s.a.",4000 psnm,oriente,AMILCAR LAPOLA,250,69 kg,2014,"May 22nd, 2014",Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,83.83,0.1,0,0.0,Green,1,"May 22nd, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
285,ipanema coffees,Brazil,fazenda rio verde,,ipanema coffees,002/4177/0121,ipanema coffees,1260,south of minas,Ipanema Coffees,320,60 kg,2013/2014,"December 26th, 2013",Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,83.83,0.1,0,0.0,Green,0,"December 26th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
286,garet alban,Ecuador,finca el trueno,,,0,sultana del cafe inc.,800 meters above sea level,"province of manabi, ecuador",,1,5 lbs,2013,"October 4th, 2013",,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,83.83,0.09,0,0.0,Bluish-Green,0,"October 4th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
287,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0221,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,2013,"September 3rd, 2013",Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,83.83,0.11,0,0.0,Green,1,"September 3rd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
288,juan luis alvarado romero,Guatemala,finca el morito,,beneficio ixchel,11/23/0464,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,250,69 kg,2013,"April 26th, 2013",Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,83.83,0.11,0,0.0,Green,3,"April 26th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
289,filemon mendoza campos,Mexico,predio cañada del encino,,colonia baltazar r.leyva mancilla,1302922721,,1218,petatlan,FILEMON MENDOZA CAMPOS,20,1 kg,2012,"July 26th, 2012",Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,83.83,0.1,0,0.0,Green,2,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
290,alfredo bojalil,Mexico,finca santa teresa,,agroindustrias unidas de mexico,222,ecomtrading,1300,"la concordia, chiapas",ERNST POHLENZ AGUILAR,250,1 kg,2012,"June 6th, 2012",Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,83.83,0.11,0,0.0,,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
291,jacques pereira carneiro,Brazil,fazenda do sertao,,cocarive,002/1352/0052,exportadora de cafés carmo de minas ltda,1.250 m,carmo de minas,Nazareth Dias Pereira,300,1 kg,2011/2012,"December 21st, 2011",Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,83.83,0.12,0,0.0,Green,3,"December 20th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d
292,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",,premium grade a,Thailand/Organic/FT/FLO 19467/2011-A/140,,4921ft,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,175,50 kg,2011,"September 20th, 2011",,,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,83.83,0.02,0,0.0,,2,"September 19th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
293,doi tung development project,Thailand,doi tung development project,,,,,,,,1,60 kg,2011,"August 16th, 2011",,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,83.83,0.01,0,0.0,,0,"August 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
294,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,,010/0170,,,sidamo,Contact name | ATO Teshome Belamo,300,6,2010,"June 17th, 2010",,,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,83.83,0.1,0,0.0,,3,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b
295,kennedy macharia,Kenya,,sc 9693,sasini mills,37-0985-4132,taylor winch (coffee) ltd,1800,nyeri,KAROGOTO,200,60 kg,,"January 11th, 2018",SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,83.75,0.11,0,0.0,Green,2,"January 11th, 2019",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74
296,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,83.75,0.11,0,0.0,Green,5,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
297,carcafe ltda ci,Colombia,,3-59-0075,neiva,3-59-0075,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,2017,"September 28th, 2017",Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,83.75,0.11,0,0.0,Green,1,"September 28th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
298,"lin, che-hao krude 林哲豪",Taiwan,崁頭山咖啡館 (kan tou mountain coffee),2017台南市精品咖啡評鑑批次 Specialty Coffee Evaluation of Tainan 2017,崁頭山咖啡館 (kan tou mountain coffee),Taiwan,taiwan coffee laboratory,750,"台南市東山區 (dongshan dist., tainan city)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),10,10 kg,2016,"June 6th, 2017",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,83.75,0.0,0,0.0,Green,0,"June 6th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
299,racafe & cia s.c.a,Colombia,,3-37-1510,bachue,3-37-1510,racafe & cia s.c.a,,huila,La Plata,275,70 kg,2016,"February 15th, 2017",,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,83.75,0.0,1,0.0,Green,4,"February 15th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
300,yunnan coffee exchange,China,pu’er specialty coffee cupping center,YNC-16063,pu’er specialty coffee cupping center,,yunnan coffee exchange,1650,yunnan,Pu’er Specialty Coffee Cupping Center,3,60 kg,2015,"April 6th, 2016",Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,83.75,0.1,0,1.0,Green,2,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93
301,carcafe ltda ci,Colombia,,,neiva,3-59-0708,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN,250,70 kg,2015/2016,"November 27th, 2015",Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,83.75,0.0,0,0.0,Green,0,"November 26th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
302,nile highland arabica coffee farmers,Uganda,erussi farmers group,,nile highland arabica coffee farmers,0,nile highlands arabica coffee farmers,1400,west nile,Nile Highland Arabica Coffee Farmers,320,60 kg,2013,"June 30th, 2014",Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,83.75,0.12,0,0.0,Green,0,"June 30th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928
303,german negron,United States (Puerto Rico),hacienda caracolillo,,hacienda alto grande,,"hacienda alto grande, llc.",2800 ft,yauco region,Hacienda Alto Grande,18,5 lbs,2013,"June 9th, 2014",Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,83.75,0.12,0,0.0,Green,1,"June 9th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
304,racafe & cia s.c.a,Colombia,,,,3-37-1419,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,100,70 kg,2014,"February 5th, 2014",Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,83.75,0.0,0,0.0,Green,5,"February 5th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
305,olam agro colombia,Colombia,,,trilladora asia,3-259-0471,olam international ltd,1500-1600,huila,,250,70 kg,2014,"January 24th, 2014",Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,83.75,0.0,0,0.0,Green,3,"January 24th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
306,exportadora de cafe condor s.a,Colombia,,,bonanza - armenia,3-68-0049,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,2013,"November 22nd, 2013",Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,83.75,0.0,0,0.0,Blue-Green,1,"November 22nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
307,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0260,exportadora de cafe condor s.a,1750,huila,,275,70 kg,2013,"August 27th, 2013",Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,83.75,0.11,0,0.0,Green,3,"August 27th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
308,kona pacific farmers cooperative,United States (Hawaii),,,,K#13150104,kona pacific farmers cooperative,,kona,,12,100 lbs,2013,"May 2nd, 2013",Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,83.75,0.0,0,0.0,Bluish-Green,0,"May 2nd, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
309,saul m. hernandez ramirez,Mexico,naranjal,,en ahuatitlan,0,,700,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",10,1 kg,2012,"September 27th, 2012",Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,83.75,0.13,5,0.0,None,5,"September 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
310,the coffee source inc.,Guatemala,several farms,,florencia,11-10170-005,the coffee source inc.,1300 mts,quetzaltenango,Several producres,250,3 lbs,2012,"May 24th, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,83.75,0.11,0,0.0,Bluish-Green,1,"May 24th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
311,carcafe ltda ci,Colombia,,,,3-059-1329,,1600 m.s.n.m,cauca,Carlos Peneche/Jesus Peneche/Flor Chacón,275,70 kg,January 2011,"April 20th, 2011",,,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,83.75,0.1,0,0.0,,1,"April 19th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
312,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0124,,1600 msnm,cundinamarca,,250,70 kg,4T/10,"February 9th, 2011",,,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,83.75,0.06,0,0.0,,1,"February 9th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
313,kona pacific farmers cooperative,United States (Hawaii),,,,HDOA 210689,,,kona,,4,1,,"June 29th, 2010",,,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,83.75,0.0,0,0.0,,0,"June 29th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
314,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,83.67,0.11,0,0.0,Green,2,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
315,kennedy macharia,Kenya,,SC 9634,sasini / kofinaf mills,37-0985-4045,taylor winch (coffee) ltd,1700,meru county,NCHOROIBORO / KIRIANI FACTORY,200,60 kg,2017,"September 1st, 2017",SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,83.67,0.11,0,0.0,Bluish-Green,0,"September 1st, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74
316,bismarck castro,Honduras,los hicaques,103,cigrah s.a de c.v.,13 / 111 / 053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,285,69 kg,2016,"May 11th, 2017",Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,83.67,0.1,0,0.0,Green,2,"May 11th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
317,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,606118 / K1730101,dry mill,017/001/1412,"comercial internacional exportadora, s.a.",1250,jinotega,RONALDO LACAYO CARDENAL,275,69 kg,2016,"May 11th, 2017",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,83.67,0.1,0,0.0,Green,3,"May 11th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
318,ipanema coffees,Brazil,capoeirinha,008/16A,dry mill,002/1660/0106,ipanema coffees,934,south of minas,Ipanema Agricola,320,60 kg,2016,"August 16th, 2016",Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,83.67,0.11,0,2.0,Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
319,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Caturra,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50 kg,2015,"May 18th, 2016",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,83.67,0.1,0,0.0,Bluish-Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
320,"ceca, s.a.",Costa Rica,,8062-1,cafex,5-025-0109,"ceca,s.a.",1350,west valley,,275,69 kg,,"March 14th, 2016",,,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,83.67,0.11,0,0.0,Blue-Green,1,"March 14th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9
321,doi tung development project,Thailand,,,,-,doi tung development project,800++,thailand,Doi Tung Development Project,1,1 kg,2014,"June 9th, 2015",,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,83.67,0.12,0,0.0,Bluish-Green,0,"June 8th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
